Date,Downsize,T2123_Wkly,Breadth_Strength,V_And_M,Use_TLT,Sergy_Ratio,Primary_Asset
2015-04-02,0.0,True,1.0,,False,,DIA
2015-04-06,0.0,True,1.0,,False,,DIA
2015-04-07,0.0,True,1.0,,False,,DIA
2015-04-08,0.0,True,1.0,,False,,DIA
2015-04-09,0.0,True,1.0,,False,,DIA
2015-04-10,0.0,True,1.0,,False,,DIA
2015-04-13,0.0,True,1.0,,False,,DIA
2015-04-14,0.0,True,1.0,,False,,DIA
2015-04-15,0.0,True,1.0,,False,,DIA
2015-04-16,0.0,True,1.0,,False,,DIA
2015-04-17,0.0,True,1.0,,False,,DIA
2015-04-20,0.0,True,1.0,,False,,DIA
2015-04-21,0.0,True,1.0,,False,,DIA
2015-04-22,0.0,True,1.0,,False,,DIA
2015-04-23,0.0,True,1.0,,False,,DIA
2015-04-24,0.0,True,1.0,,False,,DIA
2015-04-27,0.0,True,1.0,,False,,DIA
2015-04-28,0.0,True,1.0,,False,,DIA
2015-04-29,0.0,True,1.0,,False,,DIA
2015-04-30,0.0,True,1.0,,False,,DIA
2015-05-01,0.0,True,1.0,,False,,DIA
2015-05-04,0.0,True,1.0,,False,,DIA
2015-05-05,0.0,True,1.0,,False,,DIA
2015-05-06,0.0,True,1.0,,False,,DIA
2015-05-07,1.0,True,1.0,,False,,DIA
2015-05-08,1.0,False,1.0,,False,,DIA
2015-05-11,1.0,False,1.0,,False,,DIA
2015-05-12,2.0,False,1.0,,False,,DIA
2015-05-13,2.0,False,1.0,,False,,DIA
2015-05-14,1.0,False,1.0,,False,,DIA
2015-05-15,1.0,False,1.0,,False,,DIA
2015-05-18,1.0,False,1.0,,False,,DIA
2015-05-19,1.0,False,1.0,,False,,DIA
2015-05-20,1.0,False,1.0,,False,,DIA
2015-05-21,1.0,False,1.0,,False,,DIA
2015-05-22,0.0,True,1.0,,False,,DIA
2015-05-26,0.0,True,1.0,,False,,DIA
2015-05-27,0.0,True,1.0,,False,,DIA
2015-05-28,0.0,True,1.0,,False,,DIA
2015-05-29,1.0,False,1.0,,False,,DIA
2015-06-01,1.0,False,1.0,,False,,DIA
2015-06-02,1.0,False,1.0,,False,,DIA
2015-06-03,1.0,False,1.0,,False,,DIA
2015-06-04,2.0,False,1.0,,False,,DIA
2015-06-05,2.0,False,1.0,,False,,DIA
2015-06-08,2.0,False,1.0,,False,,DIA
2015-06-09,2.0,False,1.0,,False,,DIA
